step,algo,q_type,exp_type,env_action,reference_action,alt_action,match,summary,reward_resource,reward_network,reward_security,best_q,alt_q,delta,prob_action_0,prob_action_1,prob_action_2,prob_action_3,prob_action_4,prob_action_5,prob_action_6,prob_action_7,prob_action_8,prob_action_9,prob_action_10,prob_action_11,max_prob,max_prob_action,policy_entropy,feat_vim0_cpu,feat_vim0_ram,feat_vim1_cpu,feat_vim1_ram,feat_max_apt_score,feat_mean_apt_score,feat_max_dataleak_score,feat_mean_dataleak_score,feat_max_dos_score,feat_mean_dos_score,feat_mean_security_penalty,feat_max_security_penalty,feat_security_penalty_cumul,feat_mean_network_penalty,feat_max_network_penalty,feat_mean_mtd_overhead,feat_min_remaining_mig,feat_mean_remaining_mig,feat_min_remaining_reinst,feat_mean_remaining_reinst,feat_total_ues,feat_nb_resources
755,A2C,A2C_Q,SingleObjective_PolicyBased,10,7,7,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 7): +4.4585. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227236725,-2.474202988,-18.08650545,-507.6618042,-512.1203003,4.458496094,0.084831,0.052092,0.153959,0.037609,0.044949,0.161886,0.01668,0.252721,0.024888,0.090512,0.051577,0.028296,0.252721,7,2.187894,20,186.5,22,106.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2113.574219,1.5796642303466797,5.4140625,0.081978932,92,219.7142791748047,0,1005.7142944335938,37,7
756,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): +0.0475. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-2.848864468,-18.08631648,-512.1768188,-512.2243042,0.047485352,0.087208,0.052834,0.163351,0.038079,0.045445,0.168392,0.01672,0.242126,0.025059,0.083532,0.051646,0.025608,0.242126,7,2.187438,20,186.5,22,106.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,2116.373047,1.5527139902114868,5.4140625,0.081978932,91,219.57142639160156,0,1005.7142944335938,36,7
757,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -4.5683. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-21.87513185,-39.58729722,-514.6622314,-510.0939331,-4.56829834,0.087208,0.052834,0.163351,0.038079,0.045445,0.168392,0.01672,0.242126,0.025059,0.083532,0.051646,0.025608,0.242126,7,2.187438,12,174.375,28,116.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,2119.171875,2.3236308097839355,5.4140625,0.081978932,91,219.57142639160156,0,1005.5714111328125,37,7
758,A2C,A2C_Q,SingleObjective_PolicyBased,1,7,7,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 7): +0.7838. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.068006973,-18.08794383,-502.5456848,-503.3294373,0.783752441,0.087208,0.052834,0.163351,0.038079,0.045445,0.168392,0.01672,0.242126,0.025059,0.083532,0.051646,0.025608,0.242126,7,2.187438,12,174.375,30,118.5625,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,2121.970703,0.7881436944007874,5.40234375,0.081978932,91,219.57142639160156,0,1005.5714111328125,37,7
759,A2C,A2C_Q,SingleObjective_PolicyBased,1,7,7,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 7): -5.0830. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-20.22931329,-39.58892464,-506.135498,-501.0524597,-5.08303833,0.087208,0.052834,0.163351,0.038079,0.045445,0.168392,0.01672,0.242126,0.025059,0.083532,0.051646,0.025608,0.242126,7,2.187438,12,174.375,28,116.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,2124.769531,0.009367807,0.02104187,0.081978932,91,219.42857360839844,0,1005.5714111328125,36,7
760,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -4.9186. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.07056116,-18.08957134,-501.4739075,-496.5552673,-4.918640137,0.087208,0.052834,0.163351,0.038079,0.045445,0.168392,0.01672,0.242126,0.025059,0.083532,0.051646,0.025608,0.242126,7,2.187438,14,176.375,28,116.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798337697982788,4.578125,2127.568359,0.036145072,0.205810547,0.081978932,91,219.42857360839844,0,1005.5714111328125,36,7
761,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -13.1477. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.06165809,-20.06790878,-39.59055223,-512.8422852,-499.6945801,-13.14770508,0.089862,0.049144,0.1377,0.038621,0.046392,0.175756,0.016732,0.256089,0.02534,0.086008,0.052531,0.025825,0.256089,7,2.181943,14,176.375,26,114.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2130.367188,0.009749277,0.023162842,0.081978932,91,219.42857360839844,0,1005.4285888671875,36,7
762,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: +2.0770. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-0.069676333,-18.0892388,-500.5948792,-502.671875,2.076995849609375,0.089862,0.049144,0.1377,0.038621,0.046392,0.175756,0.016732,0.256089,0.02534,0.086008,0.052531,0.025825,0.256089,7,2.181943,14,176.375,26,114.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,2133.166016,0.009377344,0.022140503,0.081978932,91,219.42857360839844,0,1005.4285888671875,36,7
763,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -10.6513. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-20.26740776,-39.59021967,-513.8619385,-503.2106628,-10.65127563,0.089862,0.049144,0.1377,0.038621,0.046392,0.175756,0.016732,0.256089,0.02534,0.086008,0.052531,0.025825,0.256089,7,2.181943,14,176.375,22,106.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,2135.964844,0.009618486,0.022079468,0.081978932,91,219.2857208251953,0,1005.4285888671875,36,7
764,A2C,A2C_Q,SingleObjective_PolicyBased,8,7,7,0,"Action 8 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 8 vs highest-logit action (action 7): +1.9181. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.120383817,-0.070536454,-18.09074181,-500.5548401,-502.4729004,1.918060302734375,0.089862,0.049144,0.1377,0.038621,0.046392,0.175756,0.016732,0.256089,0.02534,0.086008,0.052531,0.025825,0.256089,7,2.181943,18,184.5,24,108.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,2138.763672,0.043446678668260574,0.210083008,0.081978932,91,219.2857208251953,0,1005.4285888671875,35,7
765,A2C,A2C_Q,SingleObjective_PolicyBased,10,7,7,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 7): +21.6145. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-0.067174814,-18.08984555,-503.5265503,-525.1410522,21.61450195,0.089862,0.049144,0.1377,0.038621,0.046392,0.175756,0.016732,0.256089,0.02534,0.086008,0.052531,0.025825,0.256089,7,2.181943,18,184.5,20,100.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.578125,2141.5625,0.009751184,0.023040771,0.081978932,91,219.2857208251953,0,1005.2857055664062,35,7
766,A2C,A2C_Q,SingleObjective_PolicyBased,4,7,7,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 7): +18.1863. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-1.86721465,-18.09082645,-497.8496094,-516.0358887,18.1862793,0.093797,0.050873,0.125779,0.040059,0.047941,0.184271,0.017386,0.243893,0.025481,0.090022,0.053701,0.026797,0.243893,7,2.199335,18,184.5,20,100.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2144.361328,0.009251186,0.02293396,0.081978932,90,219.14285278320312,0,1005.2857055664062,35,7
767,A2C,A2C_Q,SingleObjective_PolicyBased,5,7,7,0,"Action 5 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 5 vs highest-logit action (action 7): +11.4681. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.155121594,-18.0918074,-498.3134766,-509.7815857,11.468109130859375,0.093797,0.050873,0.125779,0.040059,0.047941,0.184271,0.017386,0.243893,0.025481,0.090022,0.053701,0.026797,0.243893,7,2.199335,18,184.5,18,98.3125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2147.160156,0.7808377146720886,5.40234375,0.081978932,90,219.14285278320312,0,1005.1428833007812,35,7
768,A2C,A2C_Q,SingleObjective_PolicyBased,5,7,7,0,"Action 5 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 5 vs highest-logit action (action 7): -7.0121. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-20.23106709,-39.59278839,-505.0852051,-498.0731506,-7.012054443,0.093797,0.050873,0.125779,0.040059,0.047941,0.184271,0.017386,0.243893,0.025481,0.090022,0.053701,0.026797,0.243893,7,2.199335,20,186.5,20,104.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2149.958984,0.023662295192480087,0.071166992,0.081978932,90,219,0,1005.1428833007812,35,7
769,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -2.1101. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.120383817,-0.068471597,-18.09262239,-501.6098633,-499.4997559,-2.110107422,0.093797,0.050873,0.125779,0.040059,0.047941,0.184271,0.017386,0.243893,0.025481,0.090022,0.053701,0.026797,0.243893,7,2.199335,22,188.5,20,104.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2152.757813,0.036482129245996475,0.19140625,0.081978932,90,219,0,1005.1428833007812,35,7
770,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -16.4662. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.12038382,-20.06515697,-39.59360342,-521.680542,-505.214386,-16.46615601,0.093797,0.050873,0.125779,0.040059,0.047941,0.184271,0.017386,0.243893,0.025481,0.090022,0.053701,0.026797,0.243893,7,2.199335,18,180.375,20,104.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.798616647720337,4.578125,2155.556641,0.009439741,0.024337769,0.081978932,90,218.85714721679688,0,1005.1428833007812,35,7
771,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): +10.3542. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.228012508,-18.0927462,-509.5487976,-519.9030151,10.354217529296875,0.097367,0.051587,0.132206,0.041298,0.044863,0.170595,0.018059,0.241574,0.026057,0.093865,0.054885,0.027643,0.241574,7,2.211076,18,180.375,20,104.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7997326850891113,4.58203125,2158.355469,0.008968626,0.021881104,0.081978932,90,218.85714721679688,0,1005.1428833007812,35,7
772,A2C,A2C_Q,SingleObjective_PolicyBased,5,7,7,0,"Action 5 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 5 vs highest-logit action (action 7): +3.1649. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-0.065316179,-18.09372724,-514.0809326,-517.2458496,3.164916992,0.097367,0.051587,0.132206,0.041298,0.044863,0.170595,0.018059,0.241574,0.026057,0.093865,0.054885,0.027643,0.241574,7,2.211076,18,180.375,22,110.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2161.154297,0.036261696,0.210327148,0.081978932,90,218.85714721679688,0,1005,36,7
773,A2C,A2C_Q,SingleObjective_PolicyBased,1,7,7,0,"Action 1 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 1 vs highest-logit action (action 7): -9.4462. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.11973426,-20.06883737,-39.59470832,-525.0281372,-515.5819092,-9.446228027,0.097367,0.051587,0.132206,0.041298,0.044863,0.170595,0.018059,0.241574,0.026057,0.093865,0.054885,0.027643,0.241574,7,2.211076,16,178.375,22,110.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2163.953125,0.009038652,0.021011353,0.081978932,90,218.7142791748047,0,1005,36,7
774,A2C,A2C_Q,SingleObjective_PolicyBased,10,7,7,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 7): +3.1480. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.265436095,-18.09400001,-508.795105,-511.9431152,3.148010254,0.097367,0.051587,0.132206,0.041298,0.044863,0.170595,0.018059,0.241574,0.026057,0.093865,0.054885,0.027643,0.241574,7,2.211076,16,178.375,22,110.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7997326850891113,4.58203125,2166.751953,0.009505681,0.024169922,0.081978932,90,218.7142791748047,0,1005,36,7
775,A2C,A2C_Q,SingleObjective_PolicyBased,3,7,7,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 7): -1.8210. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-1.867170667,-18.09498111,-510.4789124,-508.6579285,-1.820983887,0.097367,0.051587,0.132206,0.041298,0.044863,0.170595,0.018059,0.241574,0.026057,0.093865,0.054885,0.027643,0.241574,7,2.211076,16,178.375,26,114.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2169.550781,0.042854037,0.190673828,0.081978932,89,218.57142639160156,0,1005,36,7
776,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -5.3304. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-1.895700072,-18.09512678,-516.071106,-510.7407532,-5.330352783,0.100285,0.048197,0.123306,0.040973,0.045181,0.165213,0.018026,0.254042,0.026122,0.096734,0.054175,0.027747,0.254042,7,2.202243,16,178.375,24,112.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2172.349609,0.7808148264884949,5.40234375,0.081978932,89,218.42857360839844,0,1005,37,7
777,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -0.2257. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.227236725,-1.867519561,-18.09427253,-515.28479,-515.059082,-0.225708008,0.100285,0.048197,0.123306,0.040973,0.045181,0.165213,0.018026,0.254042,0.026122,0.096734,0.054175,0.027747,0.254042,7,2.202243,18,180.375,22,110.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2175.148438,0.8076152801513672,5.40234375,0.081978932,89,218.42857360839844,0,1004.8571166992188,37,7
778,A2C,A2C_Q,SingleObjective_PolicyBased,3,7,7,0,"Action 3 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 3 vs highest-logit action (action 7): +10.5167. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-1.895563942,-18.09525364,-519.1397095,-529.6564331,10.51672363,0.100285,0.048197,0.123306,0.040973,0.045181,0.165213,0.018026,0.254042,0.026122,0.096734,0.054175,0.027747,0.254042,7,2.202243,18,180.375,18,102.25,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2177.947266,0.7811154127120972,5.40234375,0.081978932,89,218.2857208251953,0,1004.8571166992188,37,7
779,A2C,A2C_Q,SingleObjective_PolicyBased,6,7,7,0,"Action 6 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 6 vs highest-logit action (action 7): +0.5801. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-0.11571214,-18.09623479,-520.494812,-521.0748901,0.580078125,0.100285,0.048197,0.123306,0.040973,0.045181,0.165213,0.018026,0.254042,0.026122,0.096734,0.054175,0.027747,0.254042,7,2.202243,18,184.5,20,104.3125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7994537353515625,4.58203125,2180.746094,0.8077599406242371,5.40234375,0.081978932,89,218.14285278320312,0,1004.8571166992188,38,7
780,A2C,A2C_Q,SingleObjective_PolicyBased,9,7,7,0,"Action 9 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 9 vs highest-logit action (action 7): +4.8650. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.271978038,-18.09236753,-514.0407104,-518.9057007,4.864990234,0.100285,0.048197,0.123306,0.040973,0.045181,0.165213,0.018026,0.254042,0.026122,0.096734,0.054175,0.027747,0.254042,7,2.202243,16,182.5,22,106.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7997326850891113,4.58203125,2183.544922,0.016863686963915825,0.071777344,0.081978932,89,218.14285278320312,0,1004.7142944335938,38,7
781,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -1.1136. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-1.867663127,-18.09251308,-518.9475708,-517.8339233,-1.113647461,0.103382,0.049,0.113739,0.037736,0.045834,0.172523,0.016449,0.255847,0.026109,0.097092,0.054685,0.027603,0.255847,7,2.193713,18,184.5,24,108.4375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2186.34375,0.04408782,0.190917969,0.081978932,89,218,0,1004.7142944335938,38,7
782,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: +0.5684. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.175236786,-0.068762412,-18.09234707,-518.5039673,-519.0723267,0.568359375,0.103382,0.049,0.113739,0.037736,0.045834,0.172523,0.016449,0.255847,0.026109,0.097092,0.054685,0.027603,0.255847,7,2.193713,20,186.5,20,104.3125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2189.142578,0.7812418341636658,5.40234375,0.081978932,89,218,0,1004.5714111328125,39,7
783,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -12.3215. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20.12038382,-20.11468971,-39.59332808,-531.7568359,-519.4353638,-12.32147217,0.103382,0.049,0.113739,0.037736,0.045834,0.172523,0.016449,0.255847,0.026109,0.097092,0.054685,0.027603,0.255847,7,2.193713,16,178.375,20,104.3125,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2191.941406,0.009497234,0.023880005,0.081978932,89,217.85714721679688,0,1004.5714111328125,38,7
784,A2C,A2C_Q,SingleObjective_PolicyBased,7,7,5,1,"Action 7 was executed and matches the highest-logit action (action 7). TD-trained Q-value vs next-best action 5: -9.4207. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-20,-20.23185353,-39.59430915,-523.1472168,-513.7265015,-9.420715332,0.103382,0.049,0.113739,0.037736,0.045834,0.172523,0.016449,0.255847,0.026109,0.097092,0.054685,0.027603,0.255847,7,2.193713,16,178.375,22,106.375,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2194.740234,0.016707556322216988,0.071228027,0.081978932,89,217.85714721679688,0,1004.5714111328125,38,7
785,A2C,A2C_Q,SingleObjective_PolicyBased,4,7,7,0,"Action 4 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 4 vs highest-logit action (action 7): +2.9765. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.068559046,-18.09529026,-511.9007568,-514.8772583,2.976501465,0.103382,0.049,0.113739,0.037736,0.045834,0.172523,0.016449,0.255847,0.026109,0.097092,0.054685,0.027603,0.255847,7,2.193713,16,178.375,26,114.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2197.539063,0.036948342,0.212402344,0.081978932,89,217.85714721679688,0,1004.5714111328125,38,7
786,A2C,A2C_Q,SingleObjective_PolicyBased,10,7,7,0,"Action 10 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 10 vs highest-logit action (action 7): -0.8611. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.061658095,-0.117633488,-18.09401867,-518.2969971,-517.4359131,-0.861083984,0.108415,0.050757,0.108384,0.039519,0.047105,0.179709,0.017487,0.233157,0.027284,0.102364,0.056731,0.029087,0.233157,7,2.220566,14,176.375,26,114.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7991747856140137,4.58203125,2200.337891,0.009477071,0.022521973,0.081978932,89,217.85714721679688,0,1004.4285888671875,38,7
787,A2C,A2C_Q,SingleObjective_PolicyBased,2,7,7,0,"Action 2 was executed via stochastic sampling; the highest-logit action (action 7) was not chosen. TD-trained Q-value of action 2 vs highest-logit action (action 7): -2.7574. [A2C: Q(s,a) trained via TD on A2C's own transitions. reference_action = argmax(logits). prob_action_i columns contain softmax(logits) for SHAP analysis. Reward decomposition not applicable.]",-0.119734256,-1.867615186,-18.09399718,-520.1243896,-517.3670044,-2.757385254,0.108415,0.050757,0.108384,0.039519,0.047105,0.179709,0.017487,0.233157,0.027284,0.102364,0.056731,0.029087,0.233157,7,2.220566,16,178.375,26,114.5,5.5,1.5714285373687744,6.95703125,3.244419574737549,7.5,1.0714285373687744,2.7988955974578857,4.58203125,2203.136719,0.017210278660058975,0.053833008,0.081978932,88,217.7142791748047,0,1004.4285888671875,38,7
